Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-13 22:47:54,2021-12-13,22:47:54,61502,1025,17.1,0.7,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/23,2310bb0a-1f87-422c-a5a4-611e22cf8361.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 02:36:40,2021-12-14,02:36:40,1805565,30092,501.5,20.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/67,670a63aa-7c51-473c-a8eb-055edd517759.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 02:36:40,2021-12-14,02:36:40,1805565,30092,501.5,20.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/67,670a63aa-7c51-473c-a8eb-055edd517759.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 02:36:40,2021-12-14,02:36:40,1805565,30092,501.5,20.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/67,670a63aa-7c51-473c-a8eb-055edd517759.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 02:36:40,2021-12-14,02:36:40,1805565,30092,501.5,20.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/67,670a63aa-7c51-473c-a8eb-055edd517759.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 04:32:53,2021-12-14,04:32:53,6973,116,1.9,0.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/0e,0e06679e-5068-4519-be2e-6d3823db233a.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 04:32:53,2021-12-14,04:32:53,6973,116,1.9,0.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/0e,0e06679e-5068-4519-be2e-6d3823db233a.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 04:32:53,2021-12-14,04:32:53,6973,116,1.9,0.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/0e,0e06679e-5068-4519-be2e-6d3823db233a.jpg
CT1,5,CT1,Canis lupus,CT1_5,2021-12-14 04:32:53,2021-12-14,04:32:53,6973,116,1.9,0.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/0e,0e06679e-5068-4519-be2e-6d3823db233a.jpg
CT2,7, CT2,Canis lupus,CT2_7,2021-12-14 07:37:11,2021-12-14,07:37:11,165793,2763,46.1,1.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/18,18ee062f-deb8-4ebe-b673-eaa13152e725.jpg
JS1,28,JS_1,Canis lupus,JS1_28,2022-01-06 19:46:19,2022-01-06,19:46:19,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/f6,f695ce13-28bc-4268-8487-9934b088375a.jpg
